ENSG_ID	logFC	Fold Change	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000039123	-0.269673792246881	-1.20553521332329	8.68692309944616	-2.19737170477496	0.0397977460536839	0.113319052935812	-4.32704176094455
ENSG00000186376	-0.324925664845988	-1.25259989649815	6.39292954040111	-2.19722091617257	0.0398099990243312	0.113337895013919	-4.32731552234255
ENSG00000164168	0.277221762666699	1.21185892599959	9.12626163425383	2.19710124679703	0.039819725717921	0.113349540539718	-4.32753277772399
ENSG00000138606	0.260031661553112	1.19750498491419	6.11427019775225	2.19680754859518	0.0398436066128897	0.113401467958084	-4.32806594572646
ENSG00000232223	0.206634417876652	1.15399295608852	6.34366351898515	2.19669561229762	0.0398527117021262	0.113409169433923	-4.32826913906163
ENSG00000121900	0.932517537297882	1.90860365077303	8.28825755863742	2.19663563856002	0.039857590848738	0.113409169433923	-4.32837800433038
ENSG00000205309	0.192221020538692	1.14252126742931	6.00106385878575	2.1963738842422	0.039878892175132	0.113453727618345	-4.328853123807
ENSG00000275465	0.114447191528342	1.08256015320463	3.36941278345331	2.1962587534923	0.0398882646966241	0.113464341062773	-4.32906209082929
ENSG00000049769	0.163652839798341	1.12011964388264	6.15139771723352	2.19596679159243	0.0399120416287483	0.113515919841006	-4.32959198388752
ENSG00000121966	-0.816530970225665	-1.76116608833654	10.5333293492021	-2.19586624613774	0.039920232888418	0.113523162276439	-4.3297744578862
ENSG00000164778	0.690707557229925	1.61407493336412	4.38897068777574	2.1956684342455	0.0399363527465393	0.113552946428058	-4.33013344021944
ENSG00000144233	0.44681880802389	1.36303140972716	8.37236909675381	2.19537391335064	0.0399603644996977	0.113605158390362	-4.33066789048787
ENSG00000123576	0.13502671599081	1.09811314858292	3.86634754442804	2.19525579708037	0.0399699980019873	0.113616484779924	-4.33088221714559
ENSG00000116785	0.286919757538362	1.22003265036908	3.48503971588042	2.19483175742947	0.0400045999061873	0.113683679349959	-4.33165159635358
